"Date","Price","Open","High","Low","Change %"
"Aug 27, 2019","71.685","71.705","71.870","71.656","-0.47%"
"Aug 26, 2019","72.020","71.933","72.259","71.863","0.71%"
"Aug 23, 2019","71.513","71.960","72.061","71.513","-0.58%"
"Aug 22, 2019","71.930","71.600","72.004","71.600","0.69%"
"Aug 21, 2019","71.439","71.562","71.623","71.353","-0.15%"
"Aug 20, 2019","71.549","71.523","71.827","71.523","0.14%"
"Aug 19, 2019","71.451","71.213","71.500","71.063","0.42%"
"Aug 16, 2019","71.155","71.365","71.492","71.045","-0.91%"
"Aug 15, 2019","71.810","71.507","71.829","71.309","0.75%"
"Aug 14, 2019","71.275","70.995","71.365","70.845","-0.20%"
"Aug 13, 2019","71.418","71.132","71.493","71.032","0.19%"
"Aug 12, 2019","71.283","71.014","71.367","70.993","0.51%"
"Aug 09, 2019","70.924","70.443","70.924","70.443","0.72%"
"Aug 08, 2019","70.420","71.170","71.170","70.420","-1.02%"
"Aug 07, 2019","71.145","70.965","71.195","70.604","0.15%"
"Aug 06, 2019","71.040","70.810","71.040","70.470","0.31%"
"Aug 05, 2019","70.821","70.117","70.839","70.117","1.61%"
"Aug 02, 2019","69.700","69.230","69.700","69.210","0.99%"
"Aug 01, 2019","69.017","69.267","69.267","69.002","0.21%"
"Jul 31, 2019","68.875","68.853","68.960","68.761","0.02%"
"Jul 30, 2019","68.862","68.766","68.903","68.663","0.16%"
"Jul 29, 2019","68.755","68.900","68.965","68.705","-0.18%"
"Jul 26, 2019","68.880","69.151","69.151","68.816","-0.23%"
"Jul 25, 2019","69.041","68.992","69.078","68.885","0.09%"
"Jul 24, 2019","68.980","69.020","69.109","68.921","-0.08%"
"Jul 23, 2019","69.033","68.944","69.059","68.903","0.15%"
"Jul 22, 2019","68.930","68.955","69.070","68.880","0.10%"
"Jul 19, 2019","68.860","68.810","68.955","68.722","0.01%"
"Jul 18, 2019","68.855","68.773","69.005","68.718","0.01%"
"Jul 17, 2019","68.846","68.688","68.904","68.640","0.29%"
"Jul 16, 2019","68.650","68.540","68.770","68.521","0.15%"
"Jul 15, 2019","68.545","68.535","68.615","68.477","-0.02%"
"Jul 12, 2019","68.560","68.460","68.695","68.433","0.22%"
"Jul 11, 2019","68.410","68.414","68.495","68.280","-0.01%"
"Jul 10, 2019","68.419","68.620","68.695","68.318","-0.21%"
"Jul 09, 2019","68.565","68.665","68.858","68.513","-0.00%"
"Jul 08, 2019","68.566","68.582","68.767","68.497","0.17%"
"Jul 05, 2019","68.450","68.539","68.785","68.385","-0.11%"
"Jul 04, 2019","68.527","68.817","68.914","68.489","-0.40%"
"Jul 03, 2019","68.800","68.885","68.963","68.795","-0.13%"
"Jul 02, 2019","68.890","68.924","69.075","68.870","0.01%"
"Jul 01, 2019","68.885","68.944","69.090","68.830","-0.09%"
"Jun 28, 2019","68.950","69.048","69.125","68.866","-0.20%"
"Jun 27, 2019","69.088","69.210","69.353","69.030","-0.23%"
"Jun 26, 2019","69.245","69.320","69.518","69.110","-0.13%"
"Jun 25, 2019","69.334","69.266","69.439","69.238","0.09%"
"Jun 24, 2019","69.273","69.629","69.630","69.264","-0.49%"
"Jun 21, 2019","69.615","69.755","69.760","69.504","0.14%"
"Jun 20, 2019","69.520","69.490","69.675","69.334","-0.19%"
"Jun 19, 2019","69.650","69.550","69.808","69.500","0.06%"
"Jun 18, 2019","69.610","69.868","69.891","69.609","-0.34%"
"Jun 17, 2019","69.850","69.810","69.982","69.740","0.02%"
"Jun 14, 2019","69.833","69.566","69.865","69.530","0.44%"
"Jun 13, 2019","69.530","69.379","69.580","69.314","0.22%"
"Jun 12, 2019","69.375","69.414","69.455","69.257","-0.01%"
"Jun 11, 2019","69.385","69.534","69.534","69.342","-0.22%"
"Jun 10, 2019","69.535","69.375","69.685","69.375","0.26%"
"Jun 07, 2019","69.355","69.146","69.551","69.114","0.27%"
"Jun 06, 2019","69.165","69.405","69.460","69.165","-0.32%"
"Jun 05, 2019","69.385","69.334","69.423","69.178","0.14%"
"Jun 04, 2019","69.291","69.068","69.343","69.033","0.17%"
